repo,pr_number,title,author,state,was_merged,body,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,comments_count,review_comments_count
microsoft/vscode,276113,Remove in operator from platform/terminal,Tyriar,closed,True,"Part of #276071

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-07 16:11:55+00:00,2025-11-07 16:52:33+00:00,2025-11-07 16:52:33+00:00,31,27,8,1,0,2
microsoft/vscode,276108,rm unneeded event,meganrogge,closed,True,cc @alexr00 ,2025-11-07 15:39:50+00:00,2025-11-07 16:22:02+00:00,2025-11-07 16:22:02+00:00,0,11,2,2,0,0
microsoft/vscode,276103,isUri -> isUriString,Tyriar,closed,True,"Avoid accidental auto imports/confusion of common function (`URI.isUri`)

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-07 15:16:45+00:00,2025-11-07 15:35:49+00:00,2025-11-07 15:35:49+00:00,9,9,4,1,0,0
microsoft/vscode,276093,add more logs,sandy081,closed,True,,2025-11-07 14:35:31+00:00,2025-11-07 15:38:19+00:00,2025-11-07 15:38:19+00:00,39,20,1,1,0,0
microsoft/vscode,276089,add more logs,sandy081,closed,True,,2025-11-07 14:33:16+00:00,2025-11-07 14:52:30+00:00,2025-11-07 14:52:30+00:00,39,20,1,1,0,3
microsoft/vscode,276073,SCM - fix rendering issue with incoming changes node (#276055),lszomoru,closed,True,Related https://github.com/microsoft/vscode/issues/276064,2025-11-07 13:47:44+00:00,2025-11-07 14:06:35+00:00,2025-11-07 14:06:35+00:00,10,2,1,1,0,0
microsoft/vscode,276072,"Change default of editor.inlineSuggest.triggerCommandOnProviderChange to false.",hediet,closed,True,"For https://github.com/microsoft/vscode/issues/276065

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-07 13:32:18+00:00,2025-11-07 13:55:10+00:00,2025-11-07 13:55:10+00:00,1,1,1,1,0,0
microsoft/vscode,276070,"Changes defaul of triggerCommandOnProviderChange to false.",hediet,closed,True,"Fixes https://github.com/microsoft/vscode/issues/276065
",2025-11-07 13:23:42+00:00,2025-11-07 13:45:06+00:00,2025-11-07 13:45:06+00:00,1,1,1,1,0,0
microsoft/vscode,276068,use `AsyncIterableProducer` for new search API,jrieken,closed,True,https://github.com/microsoft/vscode/issues/256854,2025-11-07 13:16:11+00:00,2025-11-07 13:41:43+00:00,2025-11-07 13:41:43+00:00,2,2,1,1,0,0
microsoft/vscode,276063,add debug logging #276060,sandy081,closed,True,#276060,2025-11-07 13:00:05+00:00,2025-11-07 13:44:39+00:00,2025-11-07 13:44:38+00:00,7,3,1,1,0,0
microsoft/vscode,276061,add debug logging #276060,sandy081,closed,True,#276060,2025-11-07 12:57:03+00:00,2025-11-07 13:16:16+00:00,2025-11-07 13:16:16+00:00,7,3,1,1,0,2
microsoft/vscode,276055,SCM - fix rendering issue with incoming changes node,lszomoru,closed,True,Related https://github.com/microsoft/vscode/issues/275820,2025-11-07 12:05:32+00:00,2025-11-07 12:53:32+00:00,2025-11-07 12:53:32+00:00,10,2,1,1,0,0
microsoft/vscode,276052,Bring back model picker for inline chat (release),jrieken,closed,True,"This reverts commit f04c75b832383fdeeb7399d9a5aad5470ef8c544.

Fixes https://github.com/microsoft/vscode/issues/276035
",2025-11-07 11:22:49+00:00,2025-11-07 13:38:40+00:00,2025-11-07 13:38:40+00:00,2,16,1,1,0,0
microsoft/vscode,276050,Update grammars,alexr00,closed,True,,2025-11-07 11:12:57+00:00,2025-11-07 11:31:20+00:00,2025-11-07 11:31:20+00:00,133,7,6,1,0,0
microsoft/vscode,276048,Git - improve logic to pick a worktree to migrate changes from,lszomoru,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-07 11:04:13+00:00,2025-11-07 11:38:52+00:00,2025-11-07 11:38:52+00:00,22,12,1,1,0,2
microsoft/vscode,276041,Bring back model picker for inline chat,jrieken,closed,True,"This reverts commit f04c75b832383fdeeb7399d9a5aad5470ef8c544.

re https://github.com/microsoft/vscode/issues/276035",2025-11-07 10:16:36+00:00,2025-11-07 10:34:58+00:00,2025-11-07 10:34:57+00:00,2,16,1,1,0,2
microsoft/vscode,276037,Add `AsyncIterableProducer#tee` and use in LM API,jrieken,closed,True,,2025-11-07 10:07:42+00:00,2025-11-07 11:35:36+00:00,2025-11-07 11:35:36+00:00,173,3,3,3,1,2
microsoft/vscode,276033,Improves observable debugging helper,hediet,closed,True,,2025-11-07 09:55:54+00:00,2025-11-07 10:14:46+00:00,2025-11-07 10:14:46+00:00,79,26,6,1,0,0
microsoft/vscode,276031,Allows TimeTravelScheduler to set start time,hediet,closed,True,,2025-11-07 09:53:39+00:00,2025-11-07 10:13:21+00:00,2025-11-07 10:13:21+00:00,18,10,1,1,0,1
microsoft/vscode,276022,fix #275478,sandy081,closed,True,fix #275478,2025-11-07 08:50:26+00:00,2025-11-07 09:40:08+00:00,2025-11-07 09:40:08+00:00,6,6,2,1,0,0
microsoft/vscode,276021,Version bump,chrmarti,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-07 08:50:16+00:00,2025-11-07 09:14:44+00:00,2025-11-07 09:14:44+00:00,3,3,2,1,0,0
microsoft/vscode,276017,Rerun OSS tool,chrmarti,closed,True,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-11-07 08:23:22+00:00,2025-11-07 08:48:00+00:00,2025-11-07 08:48:00+00:00,3,3,2,1,0,0
